Aktywny (0 lub 1);Nazwa*;Kategorie (x,y,z...);Cena zawiera podatek. (brutto);ID reguły podatku;Ilość;Dostępne do zamówienia (0 = Nie, 1 = Tak);Pokaż cenę (0 = Nie, 1 = Tak);Adresy URL zdjęcia (x,y,z...)
1;"Samsung Galaxy Tab S11 11"" 12/128GB 5G Srebrny";Smartfony i smartwatche/Tablety;3999.00;1;1;1;1;http://localhost/import-images/samsung-galaxy-tab-s11-11-12-128gb-5g-srebrny/1351870_1.jpg,http://localhost/import-images/samsung-galaxy-tab-s11-11-12-128gb-5g-srebrny/1351870_2.jpg
1;"Samsung Galaxy Tab S11 11"" 12/256GB 5G Szary";Smartfony i smartwatche/Tablety;4299.00;1;4;1;1;http://localhost/import-images/samsung-galaxy-tab-s11-11-12-512gb-wifi-szary/1351867_1.jpg,http://localhost/import-images/samsung-galaxy-tab-s11-11-12-512gb-wifi-szary/1351867_2.jpg
1;"Samsung Galaxy Tab S11 11"" 12/512GB 5G Szary";Smartfony i smartwatche/Tablety;4698.00;1;4;1;1;http://localhost/import-images/samsung-galaxy-tab-s11-11-12-512gb-wifi-szary/1351867_1.jpg,http://localhost/import-images/samsung-galaxy-tab-s11-11-12-512gb-wifi-szary/1351867_2.jpg
1;"TCL TAB 11 FE 11"" WiFi 4/128GB szary";Smartfony i smartwatche/Tablety;539.00;1;5;1;1;http://localhost/import-images/tcl-tab-11-fe-11-wifi-4-128gb-szary/1319469_1.jpg,http://localhost/import-images/tcl-tab-11-fe-11-wifi-4-128gb-szary/1319469_2.jpg
1;Xiaomi Redmi Pad 2 Pro 6/128GB Silver;Smartfony i smartwatche/Tablety;1079.00;1;2;1;1;http://localhost/import-images/xiaomi-redmi-pad-2-pro-8-256gb-silver/1361249_1.jpg,http://localhost/import-images/xiaomi-redmi-pad-2-pro-8-256gb-silver/1361249_2.jpg
1;"Samsung Galaxy Tab S11 11"" 12/256GB WiFi Szary";Smartfony i smartwatche/Tablety;3699.00;1;8;1;1;http://localhost/import-images/samsung-galaxy-tab-s11-11-12-512gb-wifi-szary/1351867_1.jpg,http://localhost/import-images/samsung-galaxy-tab-s11-11-12-512gb-wifi-szary/1351867_2.jpg
1;Xiaomi Redmi Pad 2 Pro 6/128GB Gray;Smartfony i smartwatche/Tablety;1079.00;1;7;1;1;http://localhost/import-images/xiaomi-redmi-pad-2-pro-8-256gb-gray/1361247_1.jpg,http://localhost/import-images/xiaomi-redmi-pad-2-pro-8-256gb-gray/1361247_2.jpg
1;Xiaomi Redmi Pad 2 4/128GB Green 90Hz;Smartfony i smartwatche/Tablety;629.00;1;9;1;1;http://localhost/import-images/xiaomi-redmi-pad-2-4-128gb-green-90hz/1338105_1.jpg,http://localhost/import-images/xiaomi-redmi-pad-2-4-128gb-green-90hz/1338105_2.jpg
1;Samsung Galaxy Tab A11 X135 LTE 4/64GB srebrny;Smartfony i smartwatche/Tablety;769.00;1;4;1;1;http://localhost/import-images/samsung-galaxy-tab-a11-x135-lte-4-64gb-srebrny/1361851_1.jpg,http://localhost/import-images/samsung-galaxy-tab-a11-x135-lte-4-64gb-srebrny/1361851_2.jpg
1;"Samsung Galaxy Tab S11 11"" 12/128GB WiFi Szary";Smartfony i smartwatche/Tablety;3399.00;1;5;1;1;http://localhost/import-images/samsung-galaxy-tab-s11-11-12-512gb-wifi-szary/1351867_1.jpg,http://localhost/import-images/samsung-galaxy-tab-s11-11-12-512gb-wifi-szary/1351867_2.jpg
1;"Apple iPad Air 11"" M3 256GB Wi-Fi Gwiezdna Szarość";Smartfony i smartwatche/Tablety;2999.00;1;8;1;1;http://localhost/import-images/apple-ipad-air-11-m3-256gb-wi-fi-gwiezdna-szarość/1321895_1.jpg
1;Samsung Galaxy Tab A11 X135 LTE 8/128GB srebrny;Smartfony i smartwatche/Tablety;989.00;1;9;1;1;http://localhost/import-images/samsung-galaxy-tab-a11-x135-lte-4-64gb-srebrny/1361851_1.jpg,http://localhost/import-images/samsung-galaxy-tab-a11-x135-lte-4-64gb-srebrny/1361851_2.jpg
1;Lenovo Yoga Tab Plus 12,7''/16GB/256GB/Android 14 WiFi;Smartfony i smartwatche/Tablety;2799.00;1;7;1;1;http://localhost/import-images/lenovo-yoga-tab-plus-127-16gb-256gb-android-14-wifi/1313413_1.jpg,http://localhost/import-images/lenovo-yoga-tab-plus-127-16gb-256gb-android-14-wifi/1313413_2.jpg
1;Samsung Galaxy Tab A11 X135 LTE 4/64GB szary;Smartfony i smartwatche/Tablety;769.00;1;1;1;1;http://localhost/import-images/samsung-galaxy-tab-a11-x135-lte-4-64gb-szary/1361850_1.jpg,http://localhost/import-images/samsung-galaxy-tab-a11-x135-lte-4-64gb-szary/1361850_2.jpg
1;Samsung Galaxy Tab A11 X135 LTE 8/128GB szary;Smartfony i smartwatche/Tablety;989.00;1;0;1;1;http://localhost/import-images/samsung-galaxy-tab-a11-x135-lte-4-64gb-szary/1361850_1.jpg,http://localhost/import-images/samsung-galaxy-tab-a11-x135-lte-4-64gb-szary/1361850_2.jpg
1;"Apple iPad 11"" 11gen 256GB Wi-Fi Srebrny";Smartfony i smartwatche/Tablety;2079.00;1;5;1;1;http://localhost/import-images/apple-ipad-11-11gen-256gb-wi-fi-srebrny/1321871_1.jpg,http://localhost/import-images/apple-ipad-11-11gen-256gb-wi-fi-srebrny/1321871_2.jpg
1;"Apple iPad Air 11"" M3 128GB Wi-Fi Gwiezdna Szarość";Smartfony i smartwatche/Tablety;2499.00;1;4;1;1;http://localhost/import-images/apple-ipad-air-11-m3-256gb-wi-fi-gwiezdna-szarość/1321895_1.jpg
1;"Apple iPad 10,9"" 10gen 256GB Wi-Fi Srebrny";Smartfony i smartwatche/Tablety;1599.00;1;10;1;1;http://localhost/import-images/apple-ipad-109-10gen-256gb-wi-fi-srebrny/1295159_1.jpg,http://localhost/import-images/apple-ipad-109-10gen-256gb-wi-fi-srebrny/1295159_2.jpg
1;Lenovo TAB Pro Matt 12,7'' 8GB/256GB/Android 14 WiFi;Smartfony i smartwatche/Tablety;2199.00;1;1;1;1;http://localhost/import-images/lenovo-tab-pro-matt-127-8gb-256gb-android-14-wifi/1325427_1.jpg,http://localhost/import-images/lenovo-tab-pro-matt-127-8gb-256gb-android-14-wifi/1325427_2.jpg
1;Lenovo TAB 10'' 4GB/64GB/Android 14 WiFi;Smartfony i smartwatche/Tablety;479.00;1;10;1;1;http://localhost/import-images/lenovo-tab-10-4gb-64gb-android-14-wifi/1313286_1.jpg,http://localhost/import-images/lenovo-tab-10-4gb-64gb-android-14-wifi/1313286_2.jpg
1;"Lenovo IdeaTab 11"" 8GB/256GB/Android 15 5G + PEN";Smartfony i smartwatche/Tablety;1249.00;1;2;1;1;http://localhost/import-images/lenovo-ideatab-11-8gb-256gb-android-15-5g-pen/1366165_1.jpg,http://localhost/import-images/lenovo-ideatab-11-8gb-256gb-android-15-5g-pen/1366165_2.jpg
1;Lenovo Idea Tab 8GB/128GB/Android 15/Wi-Fi + PEN;Smartfony i smartwatche/Tablety;849.00;1;2;1;1;http://localhost/import-images/lenovo-ideatab-11-8gb-256gb-android-15-5g-pen/1366165_1.jpg,http://localhost/import-images/lenovo-ideatab-11-8gb-256gb-android-15-5g-pen/1366165_2.jpg
1;"Apple iPad 11"" 11gen 128GB Wi-Fi Różowy";Smartfony i smartwatche/Tablety;1599.00;1;1;1;1;http://localhost/import-images/apple-ipad-11-11gen-256gb-wi-fi-różowy/1321874_1.jpg,http://localhost/import-images/apple-ipad-11-11gen-256gb-wi-fi-różowy/1321874_2.jpg
1;"Apple iPad 11"" 11gen 128GB Wi-Fi Niebieski";Smartfony i smartwatche/Tablety;1599.00;1;2;1;1;http://localhost/import-images/apple-ipad-11-11gen-128gb-wi-fi-niebieski/1321868_1.jpg,http://localhost/import-images/apple-ipad-11-11gen-128gb-wi-fi-niebieski/1321868_2.jpg
1;"Lenovo Idea Tab 11"" 8GB/128GB/Android 15 5G +PEN +KB";Smartfony i smartwatche/Tablety;1349.00;1;6;1;1;http://localhost/import-images/lenovo-idea-tab-11-8gb-128gb-android-15-5g-pen-kb/1368997_1.jpg,http://localhost/import-images/lenovo-ideatab-11-8gb-256gb-android-15-5g-pen/1366165_1.jpg
1;Lenovo Tab Plus 8GB/128GB/Android 14 WiFi;Smartfony i smartwatche/Tablety;899.00;1;8;1;1;http://localhost/import-images/lenovo-tab-plus-8gb-128gb-android-14-wifi/1262454_1.jpg,http://localhost/import-images/lenovo-tab-plus-8gb-128gb-android-14-wifi/1262454_2.jpg
1;"Apple iPad 11"" 11gen 128GB Wi-Fi Srebrny";Smartfony i smartwatche/Tablety;1599.00;1;10;1;1;http://localhost/import-images/apple-ipad-11-11gen-256gb-wi-fi-srebrny/1321871_1.jpg,http://localhost/import-images/apple-ipad-11-11gen-256gb-wi-fi-srebrny/1321871_2.jpg
1;"Apple iPad 10,9"" 10gen 256GB Wi-Fi Niebieski";Smartfony i smartwatche/Tablety;1599.00;1;4;1;1;http://localhost/import-images/apple-ipad-109-10gen-256gb-wi-fi-niebieski/1295160_1.jpg,http://localhost/import-images/apple-ipad-109-10gen-256gb-wi-fi-niebieski/1295160_2.jpg
1;Samsung Galaxy Tab A11 X130 WiFi 4/64GB srebrny;Smartfony i smartwatche/Tablety;599.00;1;3;1;1;http://localhost/import-images/samsung-galaxy-tab-a11-x135-lte-4-64gb-srebrny/1361851_1.jpg,http://localhost/import-images/samsung-galaxy-tab-a11-x135-lte-4-64gb-srebrny/1361851_2.jpg
1;"HONOR PAD 9 WiFi 12,1"" 8/256GB Space Gray";Smartfony i smartwatche/Tablety;849.00;1;7;1;1;http://localhost/import-images/honor-pad-9-wifi-121-8-256gb-space-gray/1233939_1.jpg,http://localhost/import-images/honor-pad-9-wifi-121-8-256gb-space-gray/1233939_2.jpg
1;"Lenovo Idea Tab 11"" 8GB/128GB/Android 15 WiFi +PEN +KB";Smartfony i smartwatche/Tablety;1099.00;1;8;1;1;http://localhost/import-images/lenovo-idea-tab-11-8gb-128gb-android-15-wifi-pen-kb/1368996_1.jpg,http://localhost/import-images/lenovo-ideatab-11-8gb-256gb-android-15-5g-pen/1366165_1.jpg
